country,continent,population,day,time,Cases,Recovered,Deaths,Tests,Recovery_rate,Death_rate,Deaths per Million,Cases per 100K,Deaths_per_Million,Cases_per_100K,Tests_per_Person,Infection Rate,Tests per 100K
St-Barth,North-America,9945.0,2024-06-30,2024-06-30T16:15:15+00:00,5507,0.0,6.0,78646.0,0.0,0.10895224260032686,603.3182503770739,55374.56008044244,603.3182503770739,55374.56008044244,7.908094519859226,55.374560080442436,790809.4519859226
Saint-Kitts-and-Nevis,North-America,53871.0,2024-06-30,2024-06-30T16:15:15+00:00,6607,6559.0,48.0,126958.0,99.27349780535796,0.7265021946420462,891.0174305284847,12264.483673961871,891.0174305284847,12264.483673961871,2.35670397802157,12.264483673961871,235670.397802157
Timor-Leste,Asia,1369429.0,2024-06-30,2024-06-30T16:15:15+00:00,23460,23102.0,138.0,278529.0,98.47399829497017,0.5882352941176471,100.77192756981195,1713.122768686803,100.77192756981195,1713.122768686803,0.20339061024704458,1.713122768686803,20339.061024704457
Kiribati,Oceania,123419.0,2024-06-30,2024-06-30T16:15:15+00:00,5085,2703.0,24.0,0.0,53.15634218289086,0.471976401179941,194.45952406031486,4120.111166027921,194.45952406031486,4120.111166027921,0.0,4.120111166027921,0.0
Burkina-Faso,Africa,22102838.0,2024-06-30,2024-06-30T16:15:15+00:00,22114,21596.0,400.0,248995.0,97.65759247535499,1.8088088993397848,18.097223533014176,100.05050030226887,18.097223533014176,100.05050030226887,0.011265295434007162,0.10005050030226888,1126.5295434007162
Liechtenstein,Europe,38387.0,2024-06-30,2024-06-30T16:15:15+00:00,21574,0.0,94.0,112457.0,0.0,0.4357096505052378,2448.7456691067287,56201.318154583576,2448.7456691067287,56201.318154583576,2.929559486284419,56.20131815458358,292955.9486284419
Gibraltar,Europe,33704.0,2024-06-30,2024-06-30T16:15:15+00:00,20550,0.0,113.0,534283.0,0.0,0.5498783454987834,3352.7177783052457,60971.99145502018,3352.7177783052457,60971.99145502018,15.852213387135059,60.97199145502018,1585221.338713506
South-Sudan,Africa,11618511.0,2024-06-30,2024-06-30T16:15:15+00:00,18819,18115.0,147.0,410280.0,96.25909984590042,0.7811254583134066,12.652223679953481,161.97428396805753,12.652223679953481,161.97428396805753,0.0353126144993967,0.16197428396805752,3531.2614499396695
Monaco,Europe,39783.0,2024-06-30,2024-06-30T16:15:15+00:00,17181,0.0,67.0,78646.0,0.0,0.3899656597404109,1684.13644018802,43186.7883266722,1684.13644018802,43186.7883266722,1.9768745444033884,43.1867883266722,197687.45444033883
Samoa,Oceania,202239.0,2024-06-30,2024-06-30T16:15:15+00:00,17006,1605.0,31.0,187397.0,9.43784546630601,0.18228860402210986,153.28398577920183,8408.86278116486,153.28398577920183,8408.86278116486,0.9266115833246802,8.40886278116486,92661.15833246803
Tonga,Oceania,107749.0,2024-06-30,2024-06-30T16:15:15+00:00,16950,15638.0,13.0,535009.0,92.25958702064896,0.07669616519174041,120.65077170089745,15731.004464078553,120.65077170089745,15731.004464078553,4.965326824378881,15.731004464078552,496532.68243788806
